[Sat Aug 16 17:33:10 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 999990.0; [Operation: Withdraw of $10.0; Previous balance: $1000000.0]
[Sat Aug 16 17:33:11 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 999980.0; [Operation: Withdraw of $10.0; Previous balance: $999990.0]
[Sat Aug 16 17:33:12 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 999970.0; [Operation: Withdraw of $10.0; Previous balance: $999980.0]
[Sat Aug 16 17:33:13 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 999960.0; [Operation: Withdraw of $10.0; Previous balance: $999970.0]
[Sat Aug 16 17:33:13 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 999950.0; [Operation: Withdraw of $10.0; Previous balance: $999960.0]
[Sat Aug 16 17:33:19 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 998950.0; [Operation: Withdraw of $1000.0; Previous balance: $999950.0]
[Sat Aug 16 17:33:20 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 997950.0; [Operation: Withdraw of $1000.0; Previous balance: $998950.0]
[Sat Aug 16 17:33:24 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 897950.0; [Operation: Withdraw of $100000.0; Previous balance: $997950.0]
[Sat Aug 16 17:33:25 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 797950.0; [Operation: Withdraw of $100000.0; Previous balance: $897950.0]
[Sat Aug 16 17:33:57 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 1.0; [Operation: Withdraw of $797949.0; Previous balance: $797950.0]
[Sat Aug 16 17:34:01 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 0.0; [Operation: Withdraw of $1.0; Previous balance: $1.0]
[Sat Aug 16 17:48:19 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1012.0; [Operation: Deposit of $12.0; Previous balance: $1000.0]
[Sat Aug 16 17:48:22 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1000.0; [Operation: Withdraw of $12.0; Previous balance: $1012.0]
[Sat Aug 16 17:48:25 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1120.0; [Operation: Deposit of $120.0; Previous balance: $1000.0]
[Sat Aug 16 17:48:30 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 121120.0; [Operation: Deposit of $120000.0; Previous balance: $1120.0]
[Sat Aug 16 17:48:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 241120.0; [Operation: Deposit of $120000.0; Previous balance: $121120.0]
[Sat Aug 16 17:48:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 361120.0; [Operation: Deposit of $120000.0; Previous balance: $241120.0]
[Sat Aug 16 17:48:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 481120.0; [Operation: Deposit of $120000.0; Previous balance: $361120.0]
[Sat Aug 16 17:48:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 601120.0; [Operation: Deposit of $120000.0; Previous balance: $481120.0]
[Sat Aug 16 17:48:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 721120.0; [Operation: Deposit of $120000.0; Previous balance: $601120.0]
[Sat Aug 16 17:48:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 841120.0; [Operation: Deposit of $120000.0; Previous balance: $721120.0]
